"iter" "M_lnFgutabs.1." "M_lnkgutelim.1." "M_lnkufrac.1." "M_lnCltot.1." "M_lnClmet.1." "M_lnVdist.1." "M_lnVdistmet.1." "SD_lnFgutabs.1." "SD_lnkgutelim.1." "SD_lnkufrac.1." "SD_lnVdist.1." "SD_lnVdistmet.1." "GSD_Ccpt.1." "GSD_Cmet.1." "GSD_Qu.1." "GSD_Q_fec.1." "GSD_Qu_met.1." "lnFgutabs.1.1." "lnkgutelim.1.1." "lnkufrac.1.1." "lnVdist.1.1." "lnVdistmet.1.1." "lnFgutabs.1.2." "lnkgutelim.1.2." "lnkufrac.1.2." "lnVdist.1.2." "lnVdistmet.1.2." "lnFgutabs.1.3." "lnkgutelim.1.3." "lnkufrac.1.3." "lnVdist.1.3." "lnVdistmet.1.3." "lnFgutabs.1.4." "lnkgutelim.1.4." "lnkufrac.1.4." "lnVdist.1.4." "lnVdistmet.1.4." "lnFgutabs.1.5." "lnkgutelim.1.5." "lnkufrac.1.5." "lnVdist.1.5." "lnVdistmet.1.5." "lnFgutabs.1.6." "lnkgutelim.1.6." "lnkufrac.1.6." "lnVdist.1.6." "lnVdistmet.1.6." "lnFgutabs.1.7." "lnkgutelim.1.7." "lnkufrac.1.7." "lnVdist.1.7." "lnVdistmet.1.7." "lnFgutabs.1.8." "lnkgutelim.1.8." "lnkufrac.1.8." "lnVdist.1.8." "lnVdistmet.1.8." "lnFgutabs.1.9." "lnkgutelim.1.9." "lnkufrac.1.9." "lnVdist.1.9." "lnVdistmet.1.9." "lnFgutabs.1.10." "lnkgutelim.1.10." "lnkufrac.1.10." "lnVdist.1.10." "lnVdistmet.1.10." "LnPrior" "LnData" "LnPosterior"
580 -2.22298 1.64259 -1.21553 -3.72767 -2.23308 -1.21003 -1.56725 0.126354 0.894519 0.43122 0.558015 0.0135002 1.29965 1.10472 1.29191 1.17167 1.29951 1.11091 1.00828 1.39082 -0.143544 -2.40893 0.733533 -0.234457 -1.89343 1.20696 -1.92978 0.0119983 -0.866755 0.903842 -0.427929 -0.468912 -1.3738 -3.51755 -0.629065 -0.0265692 1.6793 0.173279 -0.33602 1.48313 0.434719 -0.185445 -0.404419 0.368262 -1.61192 -0.218532 1.57528 0.556599 1.92806 0.465957 -2.55988 -0.258699 -0.163782 1.36336 1.72258 -0.15643 0.0894589 -0.23957 0.525636 -0.165153 0.736745 -1.26478 -0.62378 1.2827 -2.18453 1.03427 -0.343096 -99.09273 -976.039 -1075.132
610 -1.27314 1.81578 -1.23955 -3.73688 -0.879155 -1.20038 -1.47519 0.344384 0.683709 0.516975 0.492679 0.036375 1.29913 1.21871 1.28305 1.18387 1.29939 1.24213 0.650069 1.35929 0.250201 0.157252 4.12008 0.414605 -1.45449 1.29406 -0.570685 -1.88863 -0.442155 0.785035 -0.176729 0.567462 0.639745 -4.49244 -0.337628 0.247511 0.780038 -1.7502 -1.83333 1.36847 0.322279 -0.201115 1.61864 1.23515 -0.884138 0.0133019 -0.0260434 0.0298192 -0.113359 -0.139109 -3.47726 -0.144372 0.0878096 0.947208 1.29799 -0.0913839 0.0547734 2.27734 0.750329 -0.063842 0.803842 0.175599 -0.195962 0.756744 -1.60882 1.21922 1.32254 -108.1365 -979.591 -1087.728
510 -0.394441 1.42882 -1.33769 -3.71903 -2.65336 -1.05741 -2.20886 0.503756 0.598399 0.440302 0.62707 0.0429366 1.29854 1.21315 1.29644 1.17878 1.29921 1.11054 2.18601 1.58793 -0.40694 0.0458591 -0.96789 0.871746 -1.73854 0.512469 0.659496 -0.226749 0.504323 1.09777 -0.353133 -0.0211979 0.455033 -3.89254 -0.429332 0.202398 -0.605926 0.0282115 0.348021 1.55055 0.024702 0.350252 -0.026901 1.52494 -1.84006 -0.430938 -0.477389 0.269508 1.51029 0.560776 -2.96133 1.15197 0.36108 2.24976 1.86941 -0.172458 0.565208 0.173734 1.31937 0.0983945 0.556533 0.314904 0.0331497 1.13423 -1.99244 0.527465 -0.345529 -97.0984 -976.9887 -1074.087
720 -1.46767 2.41521 -1.1725 -3.67499 -1.64574 -0.89267 -1.30843 0.0020006 0.603246 0.476178 0.506836 0.341844 1.29809 1.1457 1.29901 1.26088 1.2993 -0.208976 -1.6769 1.09335 -0.0443343 0.334025 -0.26209 0.414652 -1.67606 0.837911 -0.347124 -0.193748 -1.41059 0.946005 -0.554047 -0.540423 1.70386 -4.29439 -0.632743 0.788675 -0.47839 1.60258 -0.416161 0.97685 0.0522429 -0.151017 0.329315 -0.453917 -1.38115 -0.614125 1.06579 1.25829 1.64477 -0.0220931 -3.69608 1.15104 1.13052 0.301762 1.37252 -0.279929 1.46086 2.53876 0.45626 -0.0236465 0.523899 0.816163 -1.08445 0.580529 -1.69033 0.753085 0.239307 -99.42558 -990.2505 -1089.676
530 -1.50077 1.91915 -1.18063 -3.69 -1.93069 -0.757449 -1.72031 0.213964 0.625423 0.60306 0.40422 0.211597 1.29866 1.10276 1.29587 1.20379 1.29906 -0.390644 -0.268819 0.886752 -1.26562 -1.31456 0.687241 1.38332 -1.69207 0.572758 2.1521 -1.48214 -0.093153 0.697701 -1.24358 0.527256 -1.59452 -4.33524 -0.454711 -0.202509 -1.55989 0.126731 0.469866 0.914961 -0.285298 -0.301638 -0.253684 1.86045 -1.07945 -1.00692 1.13923 -1.73426 0.777554 0.179116 -5.04219 -0.423234 2.36369 0.633213 1.16044 -1.34587 0.147187 -1.20861 -0.109643 0.00564411 0.383613 -0.679863 -0.166807 1.2188 -1.54312 0.362682 1.96202 -109.235 -975.2397 -1084.475
630 -1.97829 1.24192 -1.36395 -3.73598 -2.57552 -0.961722 -1.92437 0.212063 0.467545 0.398714 0.411274 0.0518426 1.29946 1.12407 1.29763 1.21096 1.29968 -1.06632 0.244871 1.69421 -0.917507 -1.09731 -0.549015 0.370767 -1.52898 0.832849 -0.502312 -1.66036 0.977663 1.63464 -0.426153 0.0282189 0.396353 -4.8567 -0.366051 0.195553 -0.476453 -0.99364 -0.0649127 1.8514 -0.119069 0.721047 0.969869 1.94551 -1.54085 -0.68496 -0.107161 0.790891 1.426 0.454888 -4.93655 0.85636 -0.345004 1.79739 1.93286 -1.05285 0.951119 1.80995 0.744157 0.367413 0.587569 -0.438379 1.36846 0.899818 -1.91153 0.84528 0.242922 -103.8851 -973.7618 -1077.647
910 -1.01968 1.25395 -1.27647 -3.7567 -1.76939 -1.16293 -2.28225 0.172751 0.585349 0.503008 0.480249 0.0429293 1.29855 1.15097 1.29727 1.14403 1.29837 -1.28116 -0.925159 1.1319 -0.412642 0.346384 1.20761 0.0785406 -1.11473 1.17298 0.577638 -1.52169 0.329634 1.0922 0.0566736 0.19118 -0.126053 -4.373 -0.0842093 0.4028 0.897708 -0.123436 0.24737 1.39648 0.204965 -1.63302 -0.84346 0.582823 -1.402 -0.369524 0.696547 -0.03957 -0.134292 0.233811 -3.97224 -0.516687 1.3235 0.739635 1.3023 -0.599607 0.279557 1.44134 0.875583 0.2253 1.05834 0.27545 0.83484 1.14197 -1.52441 1.0877 -0.094022 -93.22649 -983.9053 -1077.132
840 -1.2875 1.51956 -1.00357 -3.67439 -1.04377 -1.01323 -1.05602 0.0331223 0.586999 0.622156 0.473244 0.0186967 1.29965 1.22274 1.29437 1.23984 1.29924 0.148633 -0.267401 0.83923 -0.635592 0.504871 -0.720738 -0.660405 -1.67259 1.10849 -2.37159 -0.723647 0.236509 0.370922 -0.306029 0.0157904 0.459998 -3.44149 -0.708966 0.988024 1.45224 0.772399 -0.349816 0.609362 0.122051 -1.38827 0.303027 0.47752 -1.45565 -0.282544 0.505965 -1.41462 0.788251 -0.182306 -3.98726 0.712817 -0.639812 0.312126 0.766167 -0.495348 -0.219845 1.10816 0.966283 -0.317157 0.790209 0.473409 0.00791285 2.07347 -1.69405 0.855238 0.230945 -91.79959 -980.9625 -1072.762
810 -1.24598 1.1747 -1.41423 -3.69944 -2.06726 -1.16152 -2.38069 0.0414521 0.69976 0.46666 0.369483 0.18282 1.29979 1.18717 1.29844 1.23881 1.29956 0.829527 0.887266 1.8622 -0.161631 0.146175 0.140698 0.049109 -1.5797 1.37267 -0.444797 -0.0705585 -0.0239966 1.36792 -0.289184 -0.347292 -1.21955 -2.98095 -0.0876799 0.792778 1.25908 1.41735 0.760326 1.81314 0.82902 -1.48402 -1.70011 0.606012 -1.17769 -0.377129 -1.5159 -2.00473 -0.166993 0.176584 -4.48437 0.556709 -1.12636 0.993075 1.6356 -0.837157 -1.92924 -0.157439 1.24425 0.31223 1.18805 0.0250879 1.00831 -0.255225 -1.29388 1.16245 -1.0709 -99.03469 -985.4424 -1084.477
900 -1.35148 1.33832 -1.29545 -3.75811 -1.96974 -0.997619 -1.7139 0.119546 0.778544 0.48627 0.51889 0.0360768 1.29899 1.20509 1.29755 1.21243 1.29976 0.184298 0.935873 1.27908 -0.567375 -0.469019 -1.09174 0.772761 -1.93528 0.563019 -0.0210813 0.353484 1.55653 1.05205 -0.217566 -1.21637 0.764372 -3.17121 -0.17965 0.191593 1.11246 -0.446337 1.21122 1.58261 -0.0484459 -1.30795 0.321495 0.70563 -1.50371 -0.679265 -1.3744 0.553414 1.25809 0.417602 -3.46253 -1.10072 -1.54662 0.637598 1.46916 -0.500876 -0.42058 -2.20079 1.40344 -0.0895213 0.496788 -0.560661 0.660401 0.159284 -1.68153 0.62325 1.08041 -95.15836 -977.5243 -1072.683
