iter	M_lnFgutabs(1)	M_lnkgutelim(1)	M_lnkufrac(1)	M_lnCltot(1)	M_lnClmet(1)	M_lnVdist(1)	M_lnVdistmet(1)	SD_lnFgutabs(1)	SD_lnkgutelim(1)	SD_lnkufrac(1)	SD_lnVdist(1)	SD_lnVdistmet(1)	GSD_Ccpt(1)	GSD_Cmet(1)	GSD_Qu(1)	GSD_Q_fec(1)	GSD_Qu_met(1)	lnFgutabs(1.1)	lnkgutelim(1.1)	lnkufrac(1.1)	lnVdist(1.1)	lnVdistmet(1.1)	lnFgutabs(1.2)	lnkgutelim(1.2)	lnkufrac(1.2)	lnVdist(1.2)	lnVdistmet(1.2)	lnFgutabs(1.3)	lnkgutelim(1.3)	lnkufrac(1.3)	lnVdist(1.3)	lnVdistmet(1.3)	lnFgutabs(1.4)	lnkgutelim(1.4)	lnkufrac(1.4)	lnVdist(1.4)	lnVdistmet(1.4)	lnFgutabs(1.5)	lnkgutelim(1.5)	lnkufrac(1.5)	lnVdist(1.5)	lnVdistmet(1.5)	lnFgutabs(1.6)	lnkgutelim(1.6)	lnkufrac(1.6)	lnVdist(1.6)	lnVdistmet(1.6)	lnFgutabs(1.7)	lnkgutelim(1.7)	lnkufrac(1.7)	lnVdist(1.7)	lnVdistmet(1.7)	lnFgutabs(1.8)	lnkgutelim(1.8)	lnkufrac(1.8)	lnVdist(1.8)	lnVdistmet(1.8)	lnFgutabs(1.9)	lnkgutelim(1.9)	lnkufrac(1.9)	lnVdist(1.9)	lnVdistmet(1.9)	lnFgutabs(1.10)	lnkgutelim(1.10)	lnkufrac(1.10)	lnVdist(1.10)	lnVdistmet(1.10)	LnPrior	LnData	LnPosterior
0	-0.932839	-1.25074	-0.378097	-5.22614	-2.66758	-0.0647787	0.383544	0.234352	0.0262033	0.136458	0.0820016	0.152524	1.16789	1.21425	1.26656	1.12746	1.16091	0.533898	0.498521	-0.822412	0.844714	-2.01988	-0.0384742	2.21188	-1.32495	0.00505642	-0.909942	-0.600335	1.10618	-0.828277	-1.25137	1.16347	0.767024	-1.84506	-1.86228	-1.21241	-0.852306	-1.37764	-1.01321	-0.325272	0.00479541	0.63848	-1.79308	-0.0115473	-0.00316528	-0.312793	-2.17029	2.64037	-0.525422	0.642895	1.05705	0.016532	-0.817298	0.509047	0.0174247	0.976044	0.00422795	0.908691	-0.913142	-0.546755	0.545718	0.396175	0.302123	-0.504093	-0.58387	-0.921014	0.12949	-7.244543e+001	-1.259929e+004	-1.267173e+004
10	-2.14002	1.86311	-0.377553	-5.22614	-0.83468	-0.872082	-2.28101	0.100486	0.86245	0.343639	0.15305	0.403047	1.27435	1.17261	1.27425	1.16696	1.29182	-0.0854635	-0.475618	0.47913	-3.01088	-0.151585	-0.668752	1.62503	-2.73519	1.32756	-0.528918	0.755033	1.26177	-0.00413885	-3.94097	-0.269847	0.0334877	-2.19088	-1.64981	-0.843571	1.98332	-1.72159	-0.58158	0.165761	-4.26272	-1.12535	-1.99703	0.320961	-2.22061	-3.12868	0.262675	-0.835525	0.923119	-1.20873	-6.36027	0.952252	-1.64808	0.416746	0.360028	-2.13436	-2.55669	0.515008	1.05412	-1.15426	-2.15442	0.409577	0.291748	2.4837	-2.32339	2.33385	-0.0415096	-1.520708e+002	-2.102578e+003	-2.254649e+003
20	-0.0240098	1.86311	-0.380678	-3.57567	-1.89456	-0.872082	-1.12968	0.0349122	1.02539	0.458833	0.210458	0.140003	1.29756	1.2406	1.29562	1.26125	1.29182	2.82188	-0.203462	-0.695058	-1.37989	1.4044	0.112126	1.59935	-3.88217	1.89684	-0.44045	-0.508136	0.818263	-1.37476	-2.00806	-0.627143	-1.5569	-3.21473	-2.05604	-0.563482	-0.664915	-0.883718	-0.890113	-0.851663	-0.958129	-0.218405	-0.0110342	0.282441	-2.22061	0.172419	0.3111	0.848362	-0.519288	-1.20873	-7.03185	-0.413961	1.39787	0.195682	-0.327575	-0.976578	-0.316226	0.260318	0.4762	-1.51466	1.7844	1.08249	0.249343	0.21902	-3.37928	2.32497	1.72383	-1.385875e+002	-1.045225e+003	-1.183812e+003
30	-1.97176	1.90001	-0.380678	-3.57567	-2.68601	-0.872082	-2.03533	0.170444	0.981257	0.500817	0.285086	0.280105	1.29928	1.18482	1.29562	1.24221	1.29591	-0.454455	-0.881456	-0.523943	-0.6983	0.00100124	0.198019	2.32196	-3.05653	1.89684	0.00578174	-1.88627	-0.406598	-0.747196	-1.24524	-1.11279	0.552711	-3.22741	-2.29225	-0.563482	-0.185079	0.654195	1.73913	-0.575276	0.687742	-1.11182	-0.919588	-0.145058	-2.79045	-0.448043	0.3111	0.221509	-0.522955	-1.22439	-5.25005	-0.663703	-0.517556	0.561986	-0.507029	-0.891185	-1.14934	-0.336815	1.41553	-1.31666	1.48696	-0.279742	-0.974516	0.948039	-3.31208	1.92864	1.22772	-1.216476e+002	-1.013692e+003	-1.135340e+003
40	-0.480691	1.95346	-0.416624	-3.64295	-1.92616	-0.872082	-2.20184	0.125538	0.976587	0.504382	0.376012	0.111548	1.29928	1.12189	1.29757	1.23008	1.29689	0.165139	-0.80237	-0.497797	-0.550309	-0.696891	0.603198	2.42057	-3.5961	1.13379	0.592016	-2.14971	-0.595494	-0.760632	-1.24524	-0.69968	0.754573	-3.17018	-2.05424	-0.597598	1.47092	0.654195	2.95013	-0.370287	0.687742	-0.938776	-1.65706	1.0422	-3.18994	-0.448043	-1.52925	0.221509	1.1764	-1.45416	-5.01988	-0.130265	0.981276	0.523343	-0.29134	-0.847907	-0.961294	0.266856	-0.272711	-1.31666	1.12913	-0.456611	-2.90247	-0.0483144	-3.39123	0.502088	-1.08007	-1.308997e+002	-9.980269e+002	-1.128927e+003
50	-0.627136	1.95346	-0.432788	-3.64295	-2.14964	-0.872082	-2.08046	0.288549	0.952663	0.509478	0.397876	0.118312	1.29462	1.24935	1.29874	1.18905	1.2974	0.504602	0.283321	-0.435529	-0.790579	-1.42768	-0.616844	-0.352778	-3.00249	1.13379	0.00715247	-0.226139	-0.861603	-0.760632	-1.24524	1.08619	1.40416	-3.47945	-2.44892	-0.280544	1.13907	1.96366	-0.292546	-0.31762	0.180119	-1.72582	0.0229849	0.342364	-3.11871	-0.905755	0.535765	0.490881	1.40052	-1.20567	-4.92782	0.0290073	-0.681605	0.719818	-0.267116	-0.847907	-0.112722	1.83699	-0.445957	-1.31666	0.646128	1.56537	0.0145577	0.899668	-3.14565	0.502088	-0.207746	-1.186877e+002	-9.842091e+002	-1.102897e+003
60	-0.549396	2.1399	-0.400739	-3.63252	-0.950903	-0.874218	-1.73706	0.0103553	0.963972	0.53629	0.362451	0.0210098	1.29971	1.16069	1.29848	1.17911	1.2974	-0.0152677	0.722969	-0.350364	-0.790579	1.91282	-0.311608	0.0820375	-2.73461	1.13379	0.245377	-0.0773437	-0.101396	-0.760632	-1.1827	0.797638	-0.782125	-3.21129	-1.75103	-0.0882845	-1.617	-0.804474	-0.292546	-0.547916	-0.155482	0.850555	-0.547299	-0.274583	-2.72342	-0.966714	-0.299169	-0.210011	1.11487	-1.04959	-5.23215	-0.0400939	-0.0898204	-0.278017	-0.267116	-0.847907	2.26583	-0.956425	-0.101998	-1.50809	0.533027	-1.63351	-1.44677	-0.557521	-3.22927	0.920685	0.369091	-1.157837e+002	-9.818171e+002	-1.097601e+003
70	-1.81765	1.7323	-0.400739	-3.69234	-1.73027	-0.917667	-1.07032	0.494323	0.832884	0.547804	0.366386	0.069216	1.29683	1.10173	1.29497	1.25947	1.29975	0.401973	-0.806877	-0.214431	-0.716179	1.55892	0.784289	0.404652	-2.75846	1.08639	0.924292	0.533039	0.115152	-0.543928	-0.67174	0.861428	0.936277	-3.30504	-1.90021	0.201765	-1.617	2.0994	-0.809697	-0.45903	-0.178728	1.82811	0.284884	0.670262	-2.82979	-0.790132	-1.27877	0.0562522	2.33416	-1.04959	-5.52545	-0.254159	-0.0682099	1.07646	-0.0299832	-0.79035	-0.381146	1.2909	-0.0608225	-1.50809	0.539317	-0.519607	-0.288611	0.63931	-2.99657	0.657843	-0.186733	-1.168005e+002	-9.766469e+002	-1.093447e+003
80	-2.13265	1.86577	-0.472656	-3.69234	-2.52108	-0.898608	-3.43972	0.20681	0.619831	0.583647	0.347934	0.154067	1.29753	1.17426	1.29606	1.19562	1.29975	0.0712934	1.27783	-0.0905711	-0.716179	0.139983	-1.60711	0.102899	-2.9364	1.31778	-0.409149	-2.49404	-0.855015	-0.417797	-0.960143	-1.61986	0.869725	-3.84338	-1.40289	0.822812	-2.36126	1.38083	-0.0652323	-0.434911	-0.381486	-0.0486151	-0.524216	0.453909	-2.3323	-0.922961	-1.75523	-1.64914	-0.551426	-1.04959	-5.52545	-0.495648	0.497291	1.33323	-0.0663964	-0.95551	0.0660113	-0.666889	0.176929	-1.29253	0.766599	-0.00142426	-0.288611	-0.237213	-2.99657	0.647721	-0.461166	-1.169746e+002	-9.771907e+002	-1.094165e+003
90	-2.00079	2.15691	-0.480403	-3.75556	-0.869023	-0.865345	-1.9353	0.0659803	0.761254	0.585709	0.356901	0.175492	1.29709	1.25061	1.28531	1.29289	1.29975	-0.696309	-1.33735	-0.0885697	-0.519213	-1.72403	0.105329	-0.341656	-2.36808	1.31778	0.0859251	0.953915	-0.706115	-0.616863	-1.17332	0.121172	-0.869012	-3.75008	-1.49568	0.410386	-0.747446	0.929835	0.519923	-0.0489754	-0.381486	-0.709561	-0.874575	-0.136351	-2.39135	-1.24286	1.64926	0.199306	0.933123	-1.04959	-5.38116	-1.17125	-0.345896	0.140797	-0.0663964	-1.16668	-0.358967	0.121318	-1.1599	-1.06303	0.405746	-0.353995	-0.996317	-0.0852861	-2.83333	0.54629	2.242	-1.116650e+002	-9.841249e+002	-1.095790e+003
