Results of Simulation 1

Time	Ccpt_out	Qu_out	Qu_met_out
0	1e-015	1e-015	1e-015
0.1	0.0104057	0.620878	0.000835953
0.2	0.0197865	2.40133	0.00651609
0.3	0.0282394	5.22693	0.0214284
0.4	0.0358525	8.99406	0.0495089
0.5	0.0427052	13.6089	0.0942832
0.6	0.0488695	18.9867	0.158905
0.7	0.0544108	25.0504	0.246192
0.8	0.059388	31.7305	0.35866
0.9	0.0638547	38.9642	0.498545
1	0.0678594	46.6942	0.667842
1.1	0.0714457	54.8691	0.868316
1.2	0.0746535	63.4421	1.10153
1.3	0.0775187	72.371	1.36886
1.4	0.0800739	81.6175	1.67151
1.5	0.0823484	91.147	2.01056
1.6	0.084369	100.928	2.38692
1.7	0.0861599	110.933	2.8014
1.8	0.0877429	121.135	3.25469
1.9	0.0891378	131.512	3.74737
2	0.0903626	142.042	4.27995
2.1	0.0914334	152.707	4.85286
2.2	0.092365	163.489	5.46642
2.3	0.0931708	174.373	6.12092
2.4	0.0938628	185.344	6.81657
2.5	0.0944518	196.391	7.55355
2.6	0.0949478	207.501	8.33196
2.7	0.0953596	218.664	9.15187
2.8	0.0956955	229.871	10.0133
2.9	0.0959626	241.114	10.9163
3	0.0961678	252.384	11.8607
3.1	0.0963169	263.675	12.8466
3.2	0.0964155	274.98	13.8738
3.3	0.0964684	286.294	14.9422
3.4	0.0964801	297.612	16.0517
3.5	0.0964546	308.929	17.2021
3.6	0.0963957	320.241	18.3933
3.7	0.0963065	331.544	19.625
3.8	0.0961901	342.835	20.897
3.9	0.0960493	354.111	22.2092
4	0.0958864	365.37	23.5613
4.1	0.0957037	376.608	24.9531
4.2	0.0955032	387.823	26.3843
4.3	0.0952868	399.014	27.8547
4.4	0.095056	410.179	29.3641
4.5	0.0948124	421.316	30.9121
4.6	0.0945573	432.423	32.4985
4.7	0.0942919	443.5	34.1231
4.8	0.0940174	454.546	35.7855
4.9	0.0937347	465.559	37.4854
5	0.0934448	476.538	39.2227
5.1	0.0931484	487.482	40.997
5.2	0.0928463	498.392	42.808
5.3	0.0925393	509.266	44.6555
5.4	0.0922278	520.104	46.5391
5.5	0.0919124	530.904	48.4586
5.6	0.0915937	541.668	50.4137
5.7	0.0912721	552.394	52.404
5.8	0.090948	563.082	54.4293
5.9	0.0906217	573.732	56.4894
6	0.0902936	584.344	58.5838
6.1	0.089964	594.917	60.7124
6.2	0.0896332	605.451	62.8748
6.3	0.0893013	615.947	65.0708
6.4	0.0889687	626.403	67.3
6.5	0.0886355	636.821	69.5622
6.6	0.088302	647.199	71.8571
6.7	0.0879682	657.538	74.1843
6.8	0.0876343	667.838	76.5437
6.9	0.0873004	678.099	78.9349
7	0.0869668	688.321	81.3577
7.1	0.0866334	698.503	83.8117
7.2	0.0863004	708.647	86.2967
7.3	0.0859678	718.751	88.8124
7.4	0.0856358	728.817	91.3586
7.5	0.0853044	738.843	93.9349
7.6	0.0849737	748.831	96.5411
7.7	0.0846437	758.78	99.1769
7.8	0.0843145	768.69	101.842
7.9	0.0839862	778.562	104.536
8	0.0836587	788.395	107.259
8.1	0.0833321	798.19	110.011
8.2	0.0830064	807.947	112.79
8.3	0.0826817	817.665	115.598
8.4	0.082358	827.346	118.434
8.5	0.0820354	836.988	121.297
8.6	0.0817137	846.593	124.187
8.7	0.0813932	856.16	127.104
8.8	0.0810737	865.69	130.048
8.9	0.0807553	875.182	133.018
9	0.080438	884.636	136.015
9.1	0.0801218	894.054	139.037
9.2	0.0798067	903.435	142.085
9.3	0.0794927	912.779	145.159
9.4	0.0791799	922.086	148.257
9.5	0.0788682	931.356	151.381
9.6	0.0785577	940.59	154.529
9.7	0.0782483	949.787	157.702
9.8	0.0779401	958.948	160.899
9.9	0.077633	968.074	164.12
10	0.0773271	977.163	167.365
10.1	0.0770223	986.216	170.633
10.2	0.0767187	995.234	173.925
10.3	0.0764162	1004.22	177.239
10.4	0.0761149	1013.16	180.577
10.5	0.0758147	1022.07	183.936
10.6	0.0755157	1030.95	187.319
10.7	0.0752179	1039.79	190.723
10.8	0.0749212	1048.6	194.149
10.9	0.0746256	1057.37	197.597
11	0.0743312	1066.11	201.066
11.1	0.0740379	1074.81	204.557
11.2	0.0737458	1083.48	208.068
11.3	0.0734548	1092.11	211.6
11.4	0.073165	1100.71	215.153
11.5	0.0728762	1109.28	218.726
11.6	0.0725886	1117.81	222.319
11.7	0.0723022	1126.31	225.932
11.8	0.0720168	1134.77	229.565
11.9	0.0717326	1143.21	233.217
12	0.0714495	1151.6	236.889
12.1	0.0711675	1159.97	240.579
12.2	0.0708866	1168.3	244.289
12.3	0.0706068	1176.6	248.017
12.4	0.0703281	1184.87	251.763
12.5	0.0700505	1193.1	255.528
12.6	0.0697739	1201.3	259.31
12.7	0.0694985	1209.47	263.111
12.8	0.0692242	1217.61	266.929
12.9	0.0689509	1225.71	270.765
13	0.0686787	1233.79	274.617
13.1	0.0684076	1241.83	278.487
13.2	0.0681376	1249.84	282.374
13.3	0.0678686	1257.81	286.277
13.4	0.0676007	1265.76	290.197
13.5	0.0673338	1273.67	294.133
13.6	0.067068	1281.56	298.085
13.7	0.0668032	1289.41	302.053
13.8	0.0665395	1297.23	306.037
13.9	0.0662768	1305.02	310.036
14	0.0660152	1312.78	314.051
14.1	0.0657546	1320.51	318.08
14.2	0.065495	1328.21	322.125
14.3	0.0652364	1335.88	326.184
14.4	0.0649789	1343.51	330.258
14.5	0.0647223	1351.12	334.347
14.6	0.0644668	1358.7	338.45
14.7	0.0642123	1366.25	342.566
14.8	0.0639588	1373.77	346.697
14.9	0.0637063	1381.25	350.841
15	0.0634548	1388.71	354.999
15.1	0.0632043	1396.14	359.171
15.2	0.0629548	1403.54	363.355
15.3	0.0627062	1410.91	367.553
15.4	0.0624587	1418.25	371.763
15.5	0.0622121	1425.57	375.986
15.6	0.0619665	1432.85	380.222
15.7	0.0617219	1440.1	384.47
15.8	0.0614782	1447.33	388.73
15.9	0.0612355	1454.53	393.003
16	0.0609937	1461.7	397.287
16.1	0.0607529	1468.84	401.583
16.2	0.0605131	1475.95	405.89
16.3	0.0602742	1483.04	410.209
16.4	0.0600362	1490.09	414.539
16.5	0.0597992	1497.12	418.88
16.6	0.0595631	1504.12	423.232
16.7	0.059328	1511.1	427.595
16.8	0.0590937	1518.04	431.969
16.9	0.0588604	1524.96	436.353
17	0.0586281	1531.85	440.747
17.1	0.0583966	1538.72	445.152
17.2	0.0581661	1545.55	449.566
17.3	0.0579364	1552.36	453.991
17.4	0.0577077	1559.15	458.425
17.5	0.0574799	1565.9	462.869
17.6	0.0572529	1572.63	467.322
17.7	0.0570269	1579.34	471.785
17.8	0.0568018	1586.01	476.256
17.9	0.0565775	1592.66	480.737
18	0.0563542	1599.29	485.226
18.1	0.0561317	1605.89	489.725
18.2	0.0559101	1612.46	494.232
18.3	0.0556893	1619	498.747
18.4	0.0554695	1625.52	503.271
18.5	0.0552505	1632.02	507.803
18.6	0.0550324	1638.49	512.342
18.7	0.0548151	1644.93	516.89
18.8	0.0545987	1651.35	521.446
18.9	0.0543831	1657.74	526.009
19	0.0541684	1664.11	530.58
19.1	0.0539546	1670.45	535.158
19.2	0.0537416	1676.77	539.743
19.3	0.0535294	1683.06	544.336
19.4	0.0533181	1689.33	548.935
19.5	0.0531076	1695.57	553.542
19.6	0.0528979	1701.79	558.155
19.7	0.0526891	1707.98	562.775
19.8	0.0524811	1714.15	567.401
19.9	0.0522739	1720.29	572.034
20	0.0520675	1726.41	576.673
20.1	0.0518619	1732.51	581.318
20.2	0.0516572	1738.58	585.969
20.3	0.0514533	1744.63	590.626
20.4	0.0512501	1750.65	595.288
20.5	0.0510478	1756.65	599.957
20.6	0.0508463	1762.63	604.631
20.7	0.0506455	1768.58	609.31
20.8	0.0504456	1774.51	613.995
20.9	0.0502464	1780.42	618.684
21	0.050048	1786.3	623.379
21.1	0.0498505	1792.16	628.079
21.2	0.0496537	1798	632.784
