Time,Obs,name
0,0,Ccpt_out
0.25,0.22,Ccpt_out
0.5,0.32,Ccpt_out
1,0.26,Ccpt_out
2,0.26,Ccpt_out
4,0.37,Ccpt_out
6,0.11,Ccpt_out
8,0.024,Ccpt_out
12,0,Ccpt_out
24,0,Ccpt_out
36,0,Ccpt_out
48,0,Ccpt_out
0,0,Ccpt_out
0.25,0.22,Ccpt_out
0.5,0.26,Ccpt_out
1,0.23,Ccpt_out
2,0.19,Ccpt_out
4,0.11,Ccpt_out
6,0.12,Ccpt_out
8,0.09,Ccpt_out
12,0.08,Ccpt_out
24,0.08,Ccpt_out
36,0.06,Ccpt_out
48,0.024,Ccpt_out
0,0,Ccpt_out
0.25,0.38,Ccpt_out
0.5,0.37,Ccpt_out
1,0.38,Ccpt_out
2,0.31,Ccpt_out
4,0.18,Ccpt_out
6,0.12,Ccpt_out
8,0.12,Ccpt_out
12,0.08,Ccpt_out
24,0,Ccpt_out
36,0,Ccpt_out
48,0,Ccpt_out
0,0,Ccpt_out
0.25,0.04,Ccpt_out
0.5,0.08,Ccpt_out
1,0.09,Ccpt_out
2,0.17,Ccpt_out
4,0.28,Ccpt_out
6,0.16,Ccpt_out
8,0.16,Ccpt_out
12,0.09,Ccpt_out
24,0.05,Ccpt_out
36,0,Ccpt_out
48,0,Ccpt_out
0,0,Ccpt_out
0.25,0.21,Ccpt_out
0.5,0.29,Ccpt_out
1,0.23,Ccpt_out
2,0.21,Ccpt_out
4,0.13,Ccpt_out
6,0.09,Ccpt_out
8,0.09,Ccpt_out
12,0.06,Ccpt_out
24,0.05,Ccpt_out
36,0.024,Ccpt_out
48,0.024,Ccpt_out
0,0,Ccpt_out
0.25,1.27,Ccpt_out
0.5,0.97,Ccpt_out
1,1.02,Ccpt_out
2,0.48,Ccpt_out
4,0.29,Ccpt_out
6,0.42,Ccpt_out
8,0.22,Ccpt_out
12,0.12,Ccpt_out
24,0.07,Ccpt_out
36,0.07,Ccpt_out
48,0,Ccpt_out
0,0,Ccpt_out
0.25,2.44,Ccpt_out
0.5,1.75,Ccpt_out
1,0.4,Ccpt_out
2,1.79,Ccpt_out
4,0.18,Ccpt_out
6,0.14,Ccpt_out
8,0.05,Ccpt_out
12,0,Ccpt_out
24,0,Ccpt_out
36,0,Ccpt_out
48,0,Ccpt_out
0,0,Ccpt_out
0.25,0.34,Ccpt_out
0.5,0.36,Ccpt_out
1,0.2,Ccpt_out
2,0.18,Ccpt_out
4,0.16,Ccpt_out
6,0.1,Ccpt_out
9,0.09,Ccpt_out
12,0.06,Ccpt_out
24,0.024,Ccpt_out
36,0.024,Ccpt_out
48,0,Ccpt_out
0,0,Ccpt_out
0.25,0.26,Ccpt_out
0.5,0.24,Ccpt_out
1,0.25,Ccpt_out
2,0.25,Ccpt_out
4,0.18,Ccpt_out
6,0.15,Ccpt_out
8,0.13,Ccpt_out
12.5,0.11,Ccpt_out
24,0.08,Ccpt_out
36,0.07,Ccpt_out
48,0.06,Ccpt_out
0,0,Ccpt_out
0.25,0.23,Ccpt_out
0.5,0.25,Ccpt_out
1,0.18,Ccpt_out
2,0.17,Ccpt_out
4.5,0.12,Ccpt_out
6.5,0.11,Ccpt_out
8,0.08,Ccpt_out
12,0.06,Ccpt_out
24,0.05,Ccpt_out
36,0.024,Ccpt_out
48,0.024,Ccpt_out
0,0,Qu_out
2.5,1059.52,Qu_out
5,1575.16,Qu_out
9.5,3814.88,Qu_out
12,4525.68,Qu_out
25.5,4568.28,Qu_out
28.5,4671.88,Qu_out
31,4685.28,Qu_out
48,4775.28,Qu_out
52,4911.88,Qu_out
0,0,Qu_out
5.7,77.22,Qu_out
15.25,274.14,Qu_out
24,425.62,Qu_out
27.75,856.22,Qu_out
34.75,953.42,Qu_out
48,1073.96,Qu_out
0,0,Qu_out
0.583333333,58.075,Qu_out
1.533333333,330.075,Qu_out
2.316666667,578.775,Qu_out
4.083333333,1330.175,Qu_out
6.316666667,1676.375,Qu_out
24.16666667,2873.675,Qu_out
27.56666667,3153.525,Qu_out
30.23333333,3405.525,Qu_out
33.05,3473.525,Qu_out
38.71666667,3583.425,Qu_out
40.75,3597.925,Qu_out
48.73333333,3726.05,Qu_out
0,0,Qu_out
3.65,87.2,Qu_out
7.583333333,339.12,Qu_out
12.95,991.17,Qu_out
14.51666667,1125.67,Qu_out
23.1,1251.17,Qu_out
27.66666667,1354.4,Qu_out
32.11666667,1432.79,Qu_out
34.2,1456.19,Qu_out
39.26666667,1655.87,Qu_out
47.13333333,1823.55,Qu_out
0,0,Qu_out
0.833333333,89.76,Qu_out
4.833333333,1463.26,Qu_out
5.833333333,1680.76,Qu_out
6.583333333,1737.86,Qu_out
11.83333333,2809.46,Qu_out
23.83333333,3323.36,Qu_out
24.66666667,3578.08,Qu_out
30.16666667,4001.88,Qu_out
31.33333333,4075.54,Qu_out
33.33333333,4081.21,Qu_out
35.16666667,5177.89,Qu_out
47.08333333,5297.89,Qu_out
0,0,Qu_out
3.933333333,147.35,Qu_out
8.6,251.27,Qu_out
13.18333333,771.57,Qu_out
23.35,843.14,Qu_out
32.1,935.82,Qu_out
33.1,1002.82,Qu_out
47.26666667,1348.82,Qu_out
0,0,Qu_out
3.783333333,1394.1,Qu_out
9.133333333,2426.85,Qu_out
18.83333333,2932.35,Qu_out
29,3144,Qu_out
41.5,3566.5,Qu_out
0,0,Qu_out
1.833333333,1519.6,Qu_out
6,1818.7,Qu_out
13,2030.1,Qu_out
14.33333333,2373.45,Qu_out
24.5,2934.5,Qu_out
33.75,3029.5,Qu_out
45,3079.9,Qu_out
48.5,3430.3,Qu_out
0,0,Qu_out
0.8,44.82,Qu_out
1.466666667,89.22,Qu_out
1.633333333,139.52,Qu_out
4.716666667,220.02,Qu_out
10.46666667,489.8,Qu_out
12.3,669.55,Qu_out
15.13333333,757.9,Qu_out
23.96666667,794.5,Qu_out
27.96666667,895,Qu_out
32.8,1180.84,Qu_out
47.46666667,1509.04,Qu_out
0,0,Qu_out
8.5,340.8,Qu_out
12.75,397.8,Qu_out
21.58,590.2,Qu_out
23.25,606.95,Qu_out
33.92,1011.95,Qu_out
34.78,1023.55,Qu_out
45.5,1441.55,Qu_out
48,12088.12,Qu_met_out
48,10963.89964,Qu_met_out
48,9713.95,Qu_met_out
48,3052.436407,Qu_met_out
48,6302.11,Qu_met_out
48,10091.18,Qu_met_out
48,10033.5,Qu_met_out
48,7009.7,Qu_met_out
48,6385.54869,Qu_met_out
48,17558.45,Qu_met_out
